day,nf_max_2012_2025,nf_average_2012_2025,nf_min_2012_2025,nf_year_2025,em_max_2003_2025,em_average_2003_2025,em_min_2003_2025,em_year_2025,ba_max_2012_2025,ba_average_2012_2025,ba_min_2012_2025,ba_year_2025
07 Jan,27,5.71,0,0,0.29,0.08,0,0.07,8652,1534.07,0,0
14 Jan,18,3.57,0,3,0.36,0.09,0.01,0.01,3507,757,0,931
21 Jan,5,1.43,0,4,0.18,0.06,0,0.18,1095,283.21,0,1095
28 Jan,10,2.36,0,2,0.46,0.1,0,0.01,2868,581.21,0,276
04 Feb,31,4.79,0,0,0.36,0.12,0,0.03,8246,1389.14,0,0
11 Feb,18,3.86,0,2,0.63,0.15,0,0.01,4205,869.36,0,503
18 Feb,51,7.93,0,3,0.75,0.18,0.01,0.06,13409,2018.79,0,1012
25 Feb,33,10,0,4,0.79,0.18,0,0.15,7495,2492.43,0,1665
04 Mar,68,11.21,0,0,2.46,0.28,0.01,0.05,19999,2980.07,0,0
11 Mar,54,13.29,1,4,1.08,0.23,0.01,0.05,15475,3772.93,142,1238
18 Mar,61,15.21,0,1,1.22,0.36,0.01,0.01,17641,3728.43,0,370
25 Mar,24,7.21,0,5,1.88,0.38,0,0.05,6458,1956.29,0,1195
01 Apr,139,25.43,0,12,3.68,0.5,0.01,0.19,47343,8609.71,0,2389
08 Apr,25,8.86,2,10,0.74,0.21,0.02,0.09,6964,2341.93,311,1779
15 Apr,54,8.79,0,8,0.77,0.24,0.01,0.09,14510,2072,0,1617
22 Apr,55,9,0,1,1.98,0.21,0,0.04,23309,2955.29,0,205
29 Apr,27,4.21,0,3,0.53,0.16,0.01,0.18,6248,943.07,0,497
06 May,7,2.14,0,1,0.37,0.1,0.01,0.17,1819,489.29,0,1165
13 May,11,3.14,0,0,0.32,0.07,0.01,0.03,2143,707.14,0,0
20 May,11,3.21,0,2,3.23,0.34,0.02,0.02,16270,2550.86,0,346
27 May,7,2.79,0,2,1.35,0.21,0.01,0.06,1349,572.57,0,477
03 Jun,11,2.21,0,1,0.27,0.09,0.01,0.09,3748,567.07,0,348
10 Jun,8,3,0,8,0.79,0.14,0.02,0.03,6498,1245.14,0,1983
17 Jun,23,4.29,0,6,2.86,0.28,0.01,0.15,34204,3665,0,2335
24 Jun,26,4.79,0,6,1.97,0.29,0.05,0.18,18988,2181.71,0,1712
01 Jul,16,5.86,0,3,6.23,0.53,0.01,0.09,46577,5460.64,0,788
08 Jul,22,7.29,1,15,1.93,0.35,0.02,0.57,24271,3784.86,190,7455
15 Jul,34,8.93,3,5,6.39,0.65,0.04,0.14,68764,7531.57,884,884
22 Jul,45,11.14,2,19,15.65,1.34,0.09,1.29,59313,7446.5,615,7149
29 Jul,31,10.21,2,10,3.55,0.87,0.09,1.54,13229,5552.21,315,9082
05 Aug,15,8.93,2,13,5.53,1.16,0.06,1.54,13707,5511,522,4695
12 Aug,42,14.64,3,42,29.01,2.38,0.03,7.83,135816,14783.29,1346,135816
19 Aug,89,15.71,2,89,49.79,3.53,0.06,49.79,202993,23774.43,403,202993
26 Aug,26,11.71,1,18,5.8,0.98,0.08,4.62,21404,6001.36,150,9874
02 Sep,23,11.07,4,9,3.2,0.78,0.06,0.36,25656,6234,994,4071
09 Sep,43,11.64,0,4,1.49,0.55,0.08,0.2,19260,5338.21,0,1044
16 Sep,25,9.14,0,8,2.26,0.59,0.14,0.24,14490,3470,0,3109
23 Sep,17,7.64,0,16,1.77,0.5,0.01,1.77,17101,4114.29,0,17101
30 Sep,21,7.79,1,17,2.82,0.39,0.03,0.76,10605,2718.29,155,5425
07 Oct,33,9.36,1,15,1.59,0.29,0.02,0.08,6114,2286.14,204,4889
14 Oct,54,11.57,1,12,2.55,0.37,0.02,0.09,28293,3823.36,206,2877
21 Oct,38,9.21,0,14,11.03,0.89,0,0.23,27398,3502.93,0,4373
28 Oct,33,9.07,0,10,0.53,0.13,0.02,0.1,4670,1799.86,0,2180
04 Nov,31,6.79,0,2,0.33,0.1,0.03,0.08,7234,1620.21,0,1109
11 Nov,12,2.5,0,3,0.48,0.07,0.01,0.09,3782,590.64,0,617
18 Nov,15,5.07,0,7,0.41,0.1,0.01,0.1,2935,1109.79,0,2163
25 Nov,6,2.14,0,2,0.14,0.05,0,0.01,1318,485.5,0,293
02 Dec,7,2.07,0,0,0.2,0.04,0,0.05,1307,368.64,0,0
09 Dec,14,2.14,0,3,0.16,0.04,0,0,3467,518.36,0,682
16 Dec,5,1.14,0,0,0.12,0.05,0,0,1355,284.5,0,0
23 Dec,47,4.43,0,0,1.39,0.13,0,0,17009,1453.43,0,0
30 Dec,22,3.93,0,0,0.5,0.09,0,0,6827,1095.71,0,0
